Ab,Ab,Bb,C,Db,Eb,F,G
A,A,B,C#,D,E,F#,G#
Bb,Bb,C,D,Eb,F,G,A
B,B,C#,D#,E,F#,G#,A#
C,C,D,E,F,G,A,B
Db,Db,Eb,F,Gb,Ab,Bb,C
D,D,E,F#,G,A,B,C#
Eb,Eb,F,G,Ab,Bb,C,D
E,E,F#,G#,A,B,C#,D#
F,F,G,A,Bb,C,D,E
F#,F#,G#,A#,B,C#,D#,E#
Gb,Gb,Ab,Bb,Cb,Db,Eb,F
G,G,A,B,C,D,E,F#
Am,A,B,C,D,E,F,G
Bbm,Bb,C,Db,Eb,F,Gb,Ab
Bm,B,C#,D,E,F#,G,A
Cm,C,D,Eb,F,G,Ab,Bb
C#m,C#,D#,E,F#,G#,A,B
Dm,D,E,F,G,A,Bb,C
D#m,D#,E#,F#,G#,A#,B,C#
Ebm,Eb,F,Gb,Ab,Bb,Cb,Db
Em,E,F#,G,A,B,C,D
Fm,F,G,Ab,Bb,C,Db,Eb
F#m,F#,G#,A,B,C#,D,E
Gm,G,A,B,C,D,E,F#
G#m,G#,A#,B,C#,D#,E,F#
